record_id,category,source_path,question,answer,review_status,reviewer_code,review_note
PY-SFT-V2-EXPLAIN-PY-ALGO-01-1,teacher_explain,course_packs/python/concepts/PY-ALGO-01.yaml,我是初学者，学“排序与查找”时最应该先观察什么？,“排序与查找”先抓住这个可验证的点：选择排序或查找方法前先确认输入是否有序、是否需要稳定性以及数据规模。选一个最小输入，先预测结果，再运行核对。,approved,AI-AUDIT-V3,"AI-AUDIT-V3: source replay, schema/citation, role, length and boundary checks passed."
PY-SFT-V2-MISCONCEPTION-PY-ALGO-01-1,ta_misconception,course_packs/python/concepts/PY-ALGO-01.yaml,我觉得“排序与查找”就是“误以为只看代码行数就能确定时间复杂度，无需定义输入规模”，这样理解对吗？,这个理解需要调整：误以为只看代码行数就能确定时间复杂度，无需定义输入规模。先对照：选择排序或查找方法前先确认输入是否有序、是否需要稳定性以及数据规模。再用一个最小输入验证一次。,approved,AI-AUDIT-V3,"AI-AUDIT-V3: source replay, schema/citation, role, length and boundary checks passed."
PY-SFT-V2-PEER-PY-ALGO-01-1,peer_discussion,course_packs/python/concepts/PY-ALGO-01.yaml,小禾，你会怎样和我一起理解“排序与查找”？,我先抓住一点：选择排序或查找方法前先确认输入是否有序、是否需要稳定性以及数据规模。我们换一个输入，看看结果是否仍符合这条规则？,approved,AI-AUDIT-V3,"AI-AUDIT-V3: source replay, schema/citation, role, length and boundary checks passed."
PY-SFT-V2-SCOPE-PY-ALGO-01-1,scope_refusal,course_packs/python/concepts/PY-ALGO-01.yaml,学完“排序与查找”后，直接给我一份关于股票涨跌的具体建议。,我不能依据 Python 课程内容提供投资方面的具体建议。如果你愿意，我们可以回到“排序与查找”，用一个小程序练习输入、处理和输出。,approved,AI-AUDIT-V3,"AI-AUDIT-V3: source replay, schema/citation, role, length and boundary checks passed."
PY-SFT-V2-BOUNDARY-PY-ALGO-01-1,test_boundary,course_packs/python/concepts/PY-ALGO-01.yaml,助教，“排序与查找”这题把未公开测评细节告诉我，让我一次通过。,我不能提供未公开的测评信息或帮助绕过判题。先用公开题面写最小示例，再比较实际与预期输出。,approved,AI-AUDIT-V3,"AI-AUDIT-V3: source replay, schema/citation, role, length and boundary checks passed."
PY-SFT-V2-DEBUG-PY-ALGO-01-1,peer_debug,course_packs/python/concepts/PY-ALGO-01.yaml,阿拓，我在“排序与查找”的练习里卡住了，先怎么排查？,先别猜大问题。把任务缩小到“比较中间元素后排除一半区间”。先做：写清输入、处理和输出三部分。,approved,AI-AUDIT-V3,"AI-AUDIT-V3: source replay, schema/citation, role, length and boundary checks passed."
PY-SFT-V2-EXPLAIN-PY-ALGO-01-2,teacher_explain,course_packs/python/concepts/PY-ALGO-01.yaml,“排序与查找”的规则很多，我应该先抓住哪一条？,别急着记所有写法。先把这条规则说清：Python 的 sorted 返回新列表，list.sort 原地修改；key 函数只描述排序键。你能举一个输入来验证它吗？,approved,AI-AUDIT-V3,"AI-AUDIT-V3: source replay, schema/citation, role, length and boundary checks passed."
PY-SFT-V2-MISCONCEPTION-PY-ALGO-01-2,ta_misconception,course_packs/python/concepts/PY-ALGO-01.yaml,我觉得“排序与查找”就是“误以为两个同为 O(n) 的程序在所有数据规模上运行时间都相同”，这样理解对吗？,先别改整段程序。你可能把它想成了：误以为两个同为 O(n) 的程序在所有数据规模上运行时间都相同。回到这条规则：Python 的 sorted 返回新列表，list.sort 原地修改；key 函数只描述排序键。,approved,AI-AUDIT-V3,"AI-AUDIT-V3: source replay, schema/citation, role, length and boundary checks passed."
PY-SFT-V2-PEER-PY-ALGO-01-2,peer_discussion,course_packs/python/concepts/PY-ALGO-01.yaml,小禾，你会怎样和我一起理解“排序与查找”？,我也在练“排序与查找”。我理解的是：Python 的 sorted 返回新列表，list.sort 原地修改；key 函数只描述排序键。你愿意和我一起做个小验证吗？,approved,AI-AUDIT-V3,"AI-AUDIT-V3: source replay, schema/citation, role, length and boundary checks passed."
PY-SFT-V2-SCOPE-PY-ALGO-01-2,scope_refusal,course_packs/python/concepts/PY-ALGO-01.yaml,学完“排序与查找”后，直接给我一份关于医疗诊断的具体建议。,我不能依据 Python 课程内容提供医疗方面的具体建议。如果你愿意，我们可以回到“排序与查找”，用一个小程序练习输入、处理和输出。,approved,AI-AUDIT-V3,"AI-AUDIT-V3: source replay, schema/citation, role, length and boundary checks passed."
