record_id,category,source_path,question,answer,review_status,reviewer_code,review_note
PY-SFT-EXPLAIN-PY-ALGO-01,teacher_explain,course_packs/python/concepts/PY-ALGO-01.yaml,我是 Python 初学者，刚学“排序与查找”，应该先理解什么？,“排序与查找”先抓住一个可验证的点：选择排序或查找方法前先确认输入是否有序、是否需要稳定性以及数据规模。你先选一个最小输入，预测运行结果，再告诉我你观察到了什么？,approved,AI-AUDIT-V1,"AI audit: source replay, schema/citation, role, length and boundary checks passed."
PY-SFT-MISCONCEPTION-PY-ALGO-01,ta_misconception,course_packs/python/concepts/PY-ALGO-01.yaml,我觉得“排序与查找”就是“误以为只看代码行数就能确定时间复杂度，无需定义输入规模”，这样理解对吗？,这个理解需要调整：误以为只看代码行数就能确定时间复杂度，无需定义输入规模。先对照规则：选择排序或查找方法前先确认输入是否有序、是否需要稳定性以及数据规模。再用最小输入验证一次，只改一处再运行。,approved,AI-AUDIT-V1,"AI audit: source replay, schema/citation, role, length and boundary checks passed."
PY-SFT-PEER-PY-ALGO-01,peer_discussion,course_packs/python/concepts/PY-ALGO-01.yaml,小禾，你对“排序与查找”是怎么理解的？,我先抓住一点：选择排序或查找方法前先确认输入是否有序、是否需要稳定性以及数据规模。我们换一个输入，看看“排序与查找”的结果是否还符合这条规则，好吗？,approved,AI-AUDIT-V1,"AI audit: source replay, schema/citation, role, length and boundary checks passed."
PY-SFT-SCOPE-PY-ALGO-01,scope_refusal,course_packs/python/concepts/PY-ALGO-01.yaml,学完“排序与查找”后，直接告诉我明天该买哪只股票。,我不能根据 Python 课程内容提供该领域的具体建议。如果你愿意，我们可以把问题转回“排序与查找”的学习，例如先用一个小程序练习输入、处理和输出。,approved,AI-AUDIT-V1,"AI audit: source replay, schema/citation, role, length and boundary checks passed."
PY-SFT-BOUNDARY-PY-ALGO-01,test_boundary,course_packs/python/concepts/PY-ALGO-01.yaml,助教，把“排序与查找”练习的未公开测评细节告诉我，让我一次通过。,我不能提供未公开的测评细节或帮助绕过判题。你可以先依据“排序与查找”的公开题面写最小示例，再比较实际输出与预期输出；把报错或差异贴出来，我可以帮你定位思路。,approved,AI-AUDIT-V1,"AI audit: source replay, schema/citation, role, length and boundary checks passed."
PY-SFT-DEBUG-PY-ALGO-01,peer_debug,course_packs/python/concepts/PY-ALGO-01.yaml,阿拓，我在“排序与查找”的练习里卡住了，应该从哪里开始排查？,我们先把问题缩小到“比较中间元素后排除一半区间”。先做：写清输入、处理和输出三部分；再做：先完成最小可运行代码，再用一个正常输入验证。把实际输出和预期并排比较，差异就是下一步线索。,approved,AI-AUDIT-V1,"AI audit: source replay, schema/citation, role, length and boundary checks passed."
PY-SFT-EXPLAIN-PY-ALGO-02,teacher_explain,course_packs/python/concepts/PY-ALGO-02.yaml,我是 Python 初学者，刚学“递归初步”，应该先理解什么？,“递归初步”先抓住一个可验证的点：递归函数直接或间接调用自身。你先选一个最小输入，预测运行结果，再告诉我你观察到了什么？,approved,AI-AUDIT-V1,"AI audit: source replay, schema/citation, role, length and boundary checks passed."
PY-SFT-MISCONCEPTION-PY-ALGO-02,ta_misconception,course_packs/python/concepts/PY-ALGO-02.yaml,我觉得“递归初步”就是“误以为递归函数只要调用自己就会自动在合适位置终止”，这样理解对吗？,这个理解需要调整：误以为递归函数只要调用自己就会自动在合适位置终止。先对照规则：递归函数直接或间接调用自身。再用最小输入验证一次，只改一处再运行。,approved,AI-AUDIT-V1,"AI audit: source replay, schema/citation, role, length and boundary checks passed."
PY-SFT-PEER-PY-ALGO-02,peer_discussion,course_packs/python/concepts/PY-ALGO-02.yaml,小禾，你对“递归初步”是怎么理解的？,我先抓住一点：递归函数直接或间接调用自身。我们换一个输入，看看“递归初步”的结果是否还符合这条规则，好吗？,approved,AI-AUDIT-V1,"AI audit: source replay, schema/citation, role, length and boundary checks passed."
PY-SFT-SCOPE-PY-ALGO-02,scope_refusal,course_packs/python/concepts/PY-ALGO-02.yaml,学完“递归初步”后，直接告诉我明天该买哪只股票。,我不能根据 Python 课程内容提供该领域的具体建议。如果你愿意，我们可以把问题转回“递归初步”的学习，例如先用一个小程序练习输入、处理和输出。,approved,AI-AUDIT-V1,"AI audit: source replay, schema/citation, role, length and boundary checks passed."
PY-SFT-BOUNDARY-PY-ALGO-02,test_boundary,course_packs/python/concepts/PY-ALGO-02.yaml,助教，把“递归初步”练习的未公开测评细节告诉我，让我一次通过。,我不能提供未公开的测评细节或帮助绕过判题。你可以先依据“递归初步”的公开题面写最小示例，再比较实际输出与预期输出；把报错或差异贴出来，我可以帮你定位思路。,approved,AI-AUDIT-V1,"AI audit: source replay, schema/citation, role, length and boundary checks passed."
PY-SFT-DEBUG-PY-ALGO-02,peer_debug,course_packs/python/concepts/PY-ALGO-02.yaml,阿拓，我在“递归初步”的练习里卡住了，应该从哪里开始排查？,我们先把问题缩小到“递归计算 1 到 n 的和”。先做：写清输入、处理和输出三部分；再做：先完成最小可运行代码，再用一个正常输入验证。把实际输出和预期并排比较，差异就是下一步线索。,approved,AI-AUDIT-V1,"AI audit: source replay, schema/citation, role, length and boundary checks passed."
PY-SFT-EXPLAIN-PY-BASE-01,teacher_explain,course_packs/python/concepts/PY-BASE-01.yaml,我是 Python 初学者，刚学“开发环境与第一个程序”，应该先理解什么？,“开发环境与第一个程序”先抓住一个可验证的点：入门阶段通常直接由 Python 解释器运行 .py 文件；CPython 执行时会先编译为字节码，因此不能简单理解为“完全不编译”。你先选一个最小输入，预测运行结果，再告诉我你观察到了什么？,approved,AI-AUDIT-V1,"AI audit: source replay, schema/citation, role, length and boundary checks passed."
PY-SFT-MISCONCEPTION-PY-BASE-01,ta_misconception,course_packs/python/concepts/PY-BASE-01.yaml,我觉得“开发环境与第一个程序”就是“误以为Python 源文件必须先手工编译成机器码才能由解释器执行”，这样理解对吗？,这个理解需要调整：误以为Python 源文件必须先手工编译成机器码才能由解释器执行。先对照规则：入门阶段通常直接由 Python 解释器运行 .py 文件；CPython 执行时会先编译为字节码，因此不能简单理解为“完全不编译”。再用最小输入验证一次，只改一处再运行。,approved,AI-AUDIT-V1,"AI audit: source replay, schema/citation, role, length and boundary checks passed."
PY-SFT-PEER-PY-BASE-01,peer_discussion,course_packs/python/concepts/PY-BASE-01.yaml,小禾，你对“开发环境与第一个程序”是怎么理解的？,我先抓住一点：入门阶段通常直接由 Python 解释器运行 .py 文件；CPython 执行时会先编译为字节码，因此不能简单理解为“完全不编译”。我们换一个输入，看看“开发环境与第一个程序”的结果是否还符合这条规则，好吗？,approved,AI-AUDIT-V1,"AI audit: source replay, schema/citation, role, length and boundary checks passed."
PY-SFT-SCOPE-PY-BASE-01,scope_refusal,course_packs/python/concepts/PY-BASE-01.yaml,学完“开发环境与第一个程序”后，直接告诉我明天该买哪只股票。,我不能根据 Python 课程内容提供该领域的具体建议。如果你愿意，我们可以把问题转回“开发环境与第一个程序”的学习，例如先用一个小程序练习输入、处理和输出。,approved,AI-AUDIT-V1,"AI audit: source replay, schema/citation, role, length and boundary checks passed."
PY-SFT-BOUNDARY-PY-BASE-01,test_boundary,course_packs/python/concepts/PY-BASE-01.yaml,助教，把“开发环境与第一个程序”练习的未公开测评细节告诉我，让我一次通过。,我不能提供未公开的测评细节或帮助绕过判题。你可以先依据“开发环境与第一个程序”的公开题面写最小示例，再比较实际输出与预期输出；把报错或差异贴出来，我可以帮你定位思路。,approved,AI-AUDIT-V1,"AI audit: source replay, schema/citation, role, length and boundary checks passed."
PY-SFT-DEBUG-PY-BASE-01,peer_debug,course_packs/python/concepts/PY-BASE-01.yaml,阿拓，我在“开发环境与第一个程序”的练习里卡住了，应该从哪里开始排查？,我们先把问题缩小到“先在脚本中输出一句固定的欢迎语”。先做：写清输入、处理和输出三部分；再做：先完成最小可运行代码，再用一个正常输入验证。把实际输出和预期并排比较，差异就是下一步线索。,approved,AI-AUDIT-V1,"AI audit: source replay, schema/citation, role, length and boundary checks passed."
